State_Name,Assembly_No,Constituency_No,Year,month,DelimID,Poll_No,Position,Candidate,Sex,Party,Votes,Age,Candidate_Type,Valid_Votes,Electors,Constituency_Name,Constituency_Type,District_Name,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin,Margin_Percentage,ENOP,pid,Party_Type_TCPD,Party_ID,last_poll,Contested,Last_Party,Last_Party_ID,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,MyNeta_education,TCPD_Prof_Main,TCPD_Prof_Main_Desc,TCPD_Prof_Second,TCPD_Prof_Second_Desc,Election_Type
Madras,4,1,1967,2,2,0,1,M. VEDACHALAM,M,DMK,34571,,,68190,91287,WASHERMANPET,GEN,,,4,74.7,50.7,no,7242,10.62,2.33,AEMD84318,State-based Party,10192,TRUE,2,DMK,,WASHERMANPET,TRUE,TRUE,1,FALSE,FALSE,TRUE,,,,,,State Assembly Election (AE)
Madras,4,1,1967,2,2,0,2,M. M. NADAR,M,INC,27329,,,68190,91287,WASHERMANPET,GEN,,,4,74.7,40.08,no,21257,31.17,2.33,AEMD84319,National Party,3482,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,1,1967,2,2,0,3,R. NAYAKAR,M,IND,6072,,,68190,91287,WASHERMANPET,GEN,,,4,74.7,8.9,yes,5854,8.58,2.33,AEMD84320,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,1,1967,2,2,0,4,K. BALAKRISHNAN,M,IND,218,,,68190,91287,WASHERMANPET,GEN,,,4,74.7,0.32,yes,0,0,2.33,AEMD84321,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,2,1967,2,2,0,1,H. BAIG,M,IND,29360,,,56805,80590,HARBOUR,GEN,,,3,70.49,51.69,no,3850,6.78,2.13,AEMD84322,Independents,10809,TRUE,1,,,,,,1,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,2,1967,2,2,0,2,K. S. G. H. SHEREEF,M,INC,25510,,,56805,80590,HARBOUR,GEN,,,3,70.49,44.91,no,23575,41.5,2.13,AEMD84323,National Party,3482,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,2,1967,2,2,0,3,MOTILAL,M,BJS,1935,,,56805,80590,HARBOUR,GEN,,,3,70.49,3.41,yes,0,0,2.13,AEMD84324,National Party,4152,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,3,1967,2,2,0,1,M. R. KANNAN,M,DMK,40109,,,74545,102515,BASIN BRIDGE,GEN,,,4,72.72,53.81,no,9352,12.55,2.17,AETN211851,State-based Party,10192,TRUE,1,,,,,,1,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,3,1967,2,2,0,2,K. RAMDAS,M,INC,30757,,,74545,102515,BASIN BRIDGE,GEN,,,4,72.72,41.26,no,27307,36.63,2.17,AETN211852,National Party,3482,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,3,1967,2,2,0,3,G. KANNAN,M,CPI,3450,,,74545,102515,BASIN BRIDGE,GEN,,,4,72.72,4.63,yes,3221,4.32,2.17,AEMD84327,National Party,2444,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,3,1967,2,2,0,4,T. SUNDARARAJAN,M,IND,229,,,74545,102515,BASIN BRIDGE,GEN,,,4,72.72,0.31,yes,0,0,2.17,AEMD84328,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,4,1967,2,2,0,1,H. V. HANDE,M,SWA,29144,,,56509,76470,PARK TOWN,GEN,,,5,73.9,51.57,no,2679,4.74,2.04,AETN211856,National Party,12923,TRUE,1,,,,,,1,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,4,1967,2,2,0,2,T. N. ANANDANAYAKI,F,INC,26465,,,56509,76470,PARK TOWN,GEN,,,5,73.9,46.83,no,26081,46.15,2.04,AEMD84330,National Party,3482,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,4,1967,2,2,0,3,P. C. KALYANASUNDARAM,M,BJS,384,,,56509,76470,PARK TOWN,GEN,,,5,73.9,0.68,yes,59,0.1,2.04,AEMD84331,National Party,4152,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,4,1967,2,2,0,4,K. ARIYASANKARAN,M,IND,325,,,56509,76470,PARK TOWN,GEN,,,5,73.9,0.58,yes,134,0.24,2.04,AEMD84332,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,4,1967,2,2,0,5,V. THANIKACHALAM,M,IND,191,,,56509,76470,PARK TOWN,GEN,,,5,73.9,0.34,yes,0,0,2.04,AEMD84333,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,5,1967,2,2,0,1,S. MUTHU,F,DMK,40364,,,74486,101856,PERAMBUR,SC,,,3,73.13,54.19,no,6687,8.98,2.04,AETN215446,State-based Party,10192,TRUE,1,,,,,,1,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,5,1967,2,2,0,2,D. SULOCHANA,F,INC,33677,,,74486,101856,PERAMBUR,SC,,,3,73.13,45.21,no,33232,44.62,2.04,AETN211859,National Party,3482,TRUE,2,INC,,PERAMBUR (SC),FALSE,TRUE,1,FALSE,TRUE,TRUE,,,,,,State Assembly Election (AE)
Madras,4,5,1967,2,2,0,3,MUTHUVELU,M,IND,445,,,74486,101856,PERAMBUR,SC,,,3,73.13,0.6,yes,0,0,2.04,AEMD84336,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,6,1967,2,2,0,1,V. S. GOVINDARAJAN,M,DMK,41272,,,71110,97584,PURASAWALKAM,GEN,,,3,72.87,58.04,no,12226,17.19,1.96,AEMD84337,State-based Party,10192,TRUE,1,,,,,,1,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,6,1967,2,2,0,2,DAMODARAN,M,INC,29046,,,71110,97584,PURASAWALKAM,GEN,,,3,72.87,40.85,no,28254,39.73,1.96,AEMD84338,National Party,3482,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,6,1967,2,2,0,3,KRISHNIAH,M,BJS,792,,,71110,97584,PURASAWALKAM,GEN,,,3,72.87,1.11,yes,0,0,1.96,AEMD84339,National Party,4152,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,7,1967,2,2,0,1,A. V. P. ASAITHAMBI,M,DMK,36133,,,66670,91441,EGMORE,GEN,,,3,72.91,54.2,no,6946,10.42,2.08,AEMD84340,State-based Party,10192,TRUE,1,,,,,,1,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,7,1967,2,2,0,2,J. VENCATACHELLUM,F,INC,29187,,,66670,91441,EGMORE,GEN,,,3,72.91,43.78,no,27837,41.75,2.08,AEMD84341,National Party,3482,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,7,1967,2,2,0,3,G. SAMUAL,M,IND,1350,,,66670,91441,EGMORE,GEN,,,3,72.91,2.02,yes,0,0,2.08,AEMD84342,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,8,1967,2,2,0,1,K. A. MATHIALAGAN,M,DMK,39518,,,65569,91195,THOUSANDLIGHTS,GEN,,,5,71.9,60.27,no,14148,21.58,1.96,AETN211866,State-based Party,10192,TRUE,2,DMK,,THOUSAND LIGHTS,FALSE,TRUE,2,FALSE,TRUE,TRUE,,,,,,State Assembly Election (AE)
Madras,4,8,1967,2,2,0,2,M. SIVARAJ,F,INC,25370,,,65569,91195,THOUSANDLIGHTS,GEN,,,5,71.9,38.69,no,25125,38.32,1.96,AEMD84344,National Party,3482,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,8,1967,2,2,0,3,K. MUNIRAJI,M,IND,245,,,65569,91195,THOUSANDLIGHTS,GEN,,,5,71.9,0.37,yes,7,0.01,1.96,AEMD84345,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,8,1967,2,2,0,4,P. RAMAKRISHNAN,M,BJS,238,,,65569,91195,THOUSANDLIGHTS,GEN,,,5,71.9,0.36,yes,40,0.06,1.96,AETN210526,National Party,4152,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,8,1967,2,2,0,5,A. K. M. PITCHAI,M,IND,198,,,65569,91195,THOUSANDLIGHTS,GEN,,,5,71.9,0.3,yes,0,0,1.96,AEMD84347,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,9,1967,2,2,0,1,V. R. NEDUNCHEZHIYAN,M,DMK,38721,,,65179,87580,TRIPLICANE,GEN,,,3,74.42,59.41,no,12694,19.48,1.96,AEMD272452,State-based Party,10192,TRUE,2,DMK,,TRIPLICANE,TRUE,TRUE,2,FALSE,TRUE,TRUE,,,,,,State Assembly Election (AE)
Madras,4,9,1967,2,2,0,2,M. S. SAMMANDAPPA,M,INC,26027,,,65179,87580,TRIPLICANE,GEN,,,3,74.42,39.93,no,25596,39.27,1.96,AEMD84349,National Party,3482,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,9,1967,2,2,0,3,N. V. RAO,M,BJS,431,,,65179,87580,TRIPLICANE,GEN,,,3,74.42,0.66,yes,0,0,1.96,AEMD84350,National Party,4152,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,10,1967,2,2,0,1,ARANGANNAL,M,DMK,37498,,,65768,90731,MYLAPORE,GEN,,,2,72.49,57.02,no,9228,14.03,1.96,AEMD84351,State-based Party,10192,TRUE,2,DMK,,MYLAPORE,TRUE,TRUE,2,FALSE,TRUE,TRUE,,,,,,State Assembly Election (AE)
Madras,4,10,1967,2,2,0,2,V. R. RADHAKRISHNAN,M,INC,28270,,,65768,90731,MYLAPORE,GEN,,,2,72.49,42.98,no,0,0,1.96,AEMD84352,National Party,3482,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,11,1967,2,2,0,1,M. P. SIVAGNANAM,M,DMK,37662,,,65664,92089,THIAGARAYANAGAR,GEN,,,3,71.3,57.36,no,9993,15.22,1.96,AETN211877,State-based Party,10192,TRUE,1,,,,,,1,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,11,1967,2,2,0,2,K. M. SUBRAMANIAM,M,IND,27669,,,65664,92089,THIAGARAYANAGAR,GEN,,,3,71.3,42.14,no,27336,41.63,1.96,AETN211878,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,11,1967,2,2,0,3,LAKSHMINARASIMHAN,M,BJS,333,,,65664,92089,THIAGARAYANAGAR,GEN,,,3,71.3,0.51,yes,0,0,1.96,AEMD84355,National Party,4152,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,12,1967,2,2,0,1,M. KARUNANIDHI,M,DMK,53401,,,87602,121979,SAIDAPET,GEN,,,5,71.82,60.96,no,20482,23.38,1.96,AETN189483,State-based Party,10192,TRUE,1,,,,,,1,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,12,1967,2,2,0,2,S. G. VINAYAGAMURTHI,M,INC,32919,,,87602,121979,SAIDAPET,GEN,,,5,71.82,37.58,no,32254,36.82,1.96,AETN213845,National Party,3482,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,12,1967,2,2,0,3,D. SARADAMBAL,F,IND,665,,,87602,121979,SAIDAPET,GEN,,,5,71.82,0.76,yes,338,0.39,1.96,AEMD84358,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,12,1967,2,2,0,4,M. PARASURAM,M,IND,327,,,87602,121979,SAIDAPET,GEN,,,5,71.82,0.37,yes,37,0.04,1.96,AEMD84359,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,12,1967,2,2,0,5,M. VENUGOPAL,M,IND,290,,,87602,121979,SAIDAPET,GEN,,,5,71.82,0.33,yes,0,0,1.96,AEMD84360,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,13,1967,2,2,0,1,K. VEZHAVENDAN,M,DMK,35887,,,68262,94205,GUMMIDIPUNDI,GEN,,,3,72.46,52.57,no,4360,6.39,2.04,AETN271646,State-based Party,10192,TRUE,1,,,,,,1,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,13,1967,2,2,0,2,KAMALAMBUJAMMAL,F,INC,31527,,,68262,94205,GUMMIDIPUNDI,GEN,,,3,72.46,46.19,no,30679,44.94,2.04,AEMD272470,National Party,3482,TRUE,2,INC,,GUMMIDIPUNDI,TRUE,TRUE,0,FALSE,FALSE,TRUE,,,,,,State Assembly Election (AE)
Madras,4,13,1967,2,2,0,3,A. V. J. NATCKER,M,IND,848,,,68262,94205,GUMMIDIPUNDI,GEN,,,3,72.46,1.24,yes,0,0,2.04,AEMD84363,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,14,1967,2,2,0,1,P. NAGALINGAM,M,DMK,37746,,,66674,90079,PONNERI,SC,,,3,74.02,56.61,no,9995,14.99,2.04,AETN211890,State-based Party,10192,TRUE,1,,,,,,1,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,14,1967,2,2,0,2,T. P. ELUMALAI,M,INC,27751,,,66674,90079,PONNERI,SC,,,3,74.02,41.62,no,26574,39.86,2.04,AETN211891,National Party,3482,TRUE,2,INC,,PONNERI (SC),FALSE,TRUE,1,FALSE,TRUE,TRUE,,,,,,State Assembly Election (AE)
Madras,4,14,1967,2,2,0,3,A. P. ELUMALAI,M,IND,1177,,,66674,90079,PONNERI,SC,,,3,74.02,1.77,yes,0,0,2.04,AEMD84366,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
