State_Name,Assembly_No,Constituency_No,Year,month,DelimID,Poll_No,Position,Candidate,Sex,Party,Votes,Age,Candidate_Type,Valid_Votes,Electors,Constituency_Name,Constituency_Type,District_Name,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin,Margin_Percentage,ENOP,pid,Party_Type_TCPD,Party_ID,last_poll,Contested,Last_Party,Last_Party_ID,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,MyNeta_education,TCPD_Prof_Main,TCPD_Prof_Main_Desc,TCPD_Prof_Second,TCPD_Prof_Second_Desc,Election_Type
Meghalaya,11,1,2023,3,4,0,1,SNIAWBHALANG DHAR,M,NPP,16969,41,,40827,45118,NARTIANG,ST,WEST JAINTIA HILLS,JAINTIA HILLS,5,90.49,41.56,no,2123,5.2,3.03,AEML31,Local Party,5671,TRUE,4,NPEP,5671,NARTIANG,TRUE,TRUE,4,FALSE,TRUE,TRUE,12th Pass,Politics,,Social Work,,State Assembly Election (AE)
Meghalaya,11,1,2023,3,4,0,2,EMLANG LALOO,M,INC,14846,58,,40827,45118,NARTIANG,ST,WEST JAINTIA HILLS,JAINTIA HILLS,5,90.49,36.36,no,7442,18.23,3.03,AEML5196446,National Party,3482,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Graduate,Former Government,Ex Govt Employee,,,State Assembly Election (AE)
Meghalaya,11,1,2023,3,4,0,3,GENEROUS PASLEIN,M,IND,7404,26,,40827,45118,NARTIANG,ST,WEST JAINTIA HILLS,JAINTIA HILLS,5,90.49,18.14,no,6511,15.95,3.03,AEML5196449,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Post Graduate,Business,,,,State Assembly Election (AE)
Meghalaya,11,1,2023,3,4,0,4,DAWAN LYNGDOH,M,United Democratic Party,893,29,,40827,45118,NARTIANG,ST,WEST JAINTIA HILLS,JAINTIA HILLS,5,90.49,2.19,yes,460,1.13,3.03,AEML5196445,Local Party,8377,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Graduate,Politics,,,,State Assembly Election (AE)
Meghalaya,11,1,2023,3,4,0,5,NOTA,,None of the Above,433,,,40827,45118,NARTIANG,ST,WEST JAINTIA HILLS,JAINTIA HILLS,5,90.49,1.06,,151,0.37,3.03,,,5897,TRUE,,,,,,,,,,,,,,,,State Assembly Election (AE)
Meghalaya,11,1,2023,3,4,0,6,RIMIKI SARI,M,BJP,282,32,,40827,45118,NARTIANG,ST,WEST JAINTIA HILLS,JAINTIA HILLS,5,90.49,0.69,yes,0,0,3.03,AEML5196447,National Party,1605,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Graduate,Business,,,,State Assembly Election (AE)
Meghalaya,11,2,2023,3,4,0,1,WAILADMIKI SHYLLA,M,NPP,14079,31,,36716,42718,JOWAI,ST,WEST JAINTIA HILLS,JAINTIA HILLS,5,85.95,38.35,no,2667,7.26,3.03,AEML53,Local Party,5671,TRUE,2,NPEP,5671,JOWAI,TRUE,TRUE,2,FALSE,TRUE,TRUE,12th Pass,Politics,MLA,,,State Assembly Election (AE)
Meghalaya,11,2,2023,3,4,0,2,AWHAI ANDREW SHULLAI,M,AITC,11412,40,,36716,42718,JOWAI,ST,WEST JAINTIA HILLS,JAINTIA HILLS,5,85.95,31.08,no,1152,3.14,3.03,AEML41,,18228,TRUE,2,INC,3482,JOWAI,TRUE,FALSE,0,TRUE,FALSE,TRUE,Graduate,Politics,Party Worker,,,State Assembly Election (AE)
Meghalaya,11,2,2023,3,4,0,3,MOONLIGHT PARIAT,M,United Democratic Party,10260,60,,36716,42718,JOWAI,ST,WEST JAINTIA HILLS,JAINTIA HILLS,5,85.95,27.94,no,9837,26.79,3.03,AEML47,Local Party,8377,TRUE,4,UDP,8377,JOWAI,TRUE,TRUE,0,FALSE,FALSE,TRUE,12th Pass,Other,,,,State Assembly Election (AE)
Meghalaya,11,2,2023,3,4,0,4,NOTA,,None of the Above,423,,,36716,42718,JOWAI,ST,WEST JAINTIA HILLS,JAINTIA HILLS,5,85.95,1.15,,97,0.26,3.03,,,5897,TRUE,,,,,,,,,,,,,,,,State Assembly Election (AE)
