State_Name,Assembly_No,Constituency_No,Year,month,DelimID,Poll_No,Position,Candidate,Sex,Party,Votes,Age,Candidate_Type,Valid_Votes,Electors,Constituency_Name,Constituency_Type,District_Name,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin,Margin_Percentage,ENOP,pid,Party_Type_TCPD,Party_ID,last_poll,Contested,Last_Party,Last_Party_ID,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,MyNeta_education,TCPD_Prof_Main,TCPD_Prof_Main_Desc,TCPD_Prof_Second,TCPD_Prof_Second_Desc,Election_Type
Nagaland,14,1,2023,3,4,0,1,H. TOVIHOTO AYEMI,M,BJP,13325,44,,19886,25173,DIMAPUR-I,GEN,DIMAPUR,,2,79,67.01,no,6959,34.99,1.82,AENL14,National Party,1605,TRUE,3,BJP,1605,DIMAPUR-I,TRUE,TRUE,3,FALSE,TRUE,TRUE,Graduate,Business,,Social Work,,State Assembly Election (AE)
Nagaland,14,1,2023,3,4,0,2,KEWEKHAPE THERIE,M,INC,6366,69,,19886,25173,DIMAPUR-I,GEN,DIMAPUR,,2,79,32.01,no,6171,31.03,1.82,AENL511,National Party,3482,TRUE,10,INC,3482,PFUTSERO,FALSE,TRUE,3,FALSE,FALSE,TRUE,Graduate,Social Work,,,,State Assembly Election (AE)
Nagaland,14,1,2023,3,4,0,3,NOTA,,None of the Above,195,,,19886,25173,DIMAPUR-I,GEN,DIMAPUR,,2,79,0.98,,0,0,1.82,,NOTA,5897,TRUE,,,,,,,,,,,,,,,,State Assembly Election (AE)
Nagaland,14,2,2023,3,4,0,1,MOATOSHI LONGKUMER,M,NDPP,23856,65,,44854,59520,DIMAPUR-II,ST,DIMAPUR,,3,75.36,53.19,no,5147,11.48,2.22,AENL5195546,Local Party,5798,TRUE,3,NPF,5552,DIMAPUR-II,TRUE,FALSE,2,TRUE,TRUE,TRUE,Post Graduate,Politics,Party Worker,,,State Assembly Election (AE)
Nagaland,14,2,2023,3,4,0,2,Y. VIKHEHO AWOMI,M,Lok Janshakti Party(Ram Vilas),18709,54,,44854,59520,DIMAPUR-II,ST,DIMAPUR,,3,75.36,41.71,no,16925,37.73,2.22,AENL5196392,Local Party,25146,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Graduate Professional,Politics,Party Worker,,,State Assembly Election (AE)
Nagaland,14,2,2023,3,4,0,3,S. AMENTO CHISHI,M,INC,1784,38,,44854,59520,DIMAPUR-II,ST,DIMAPUR,,3,75.36,3.98,yes,1279,2.85,2.22,AENL5196390,National Party,3482,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,10th Pass,Small Business or Self-employed,Self-employed,,,State Assembly Election (AE)
Nagaland,14,2,2023,3,4,0,4,NOTA,,None of the Above,505,,,44854,59520,DIMAPUR-II,ST,DIMAPUR,,3,75.36,1.13,,0,0,2.22,,NOTA,5897,TRUE,,,,,,,,,,,,,,,,State Assembly Election (AE)
Nagaland,14,3,2023,3,4,0,1,HEKANI JAKHALU,F,NDPP,14395,48,,31874,38824,DIMAPUR-III,ST,DIMAPUR,,5,82.1,45.16,no,1536,4.82,2.7,AENL5196393,Local Party,5798,TRUE,1,,,,,,1,FALSE,FALSE,FALSE,Post Graduate,Social Work,Activist,,,State Assembly Election (AE)
Nagaland,14,3,2023,3,4,0,2,AZHETO ZHIMOMI,M,Lok Janshakti Party(Ram Vilas),12859,67,,31874,38824,DIMAPUR-III,ST,DIMAPUR,,5,82.1,40.34,no,10414,32.67,2.7,AENL42,Local Party,25146,TRUE,6,NPF,5552,DIMAPUR-III,TRUE,FALSE,3,TRUE,TRUE,TRUE,10th Pass,Politics,Party Worker,,,State Assembly Election (AE)
Nagaland,14,3,2023,3,4,0,3,LUN TUNGNUNG,M,IND,2445,45,,31874,38824,DIMAPUR-III,ST,DIMAPUR,,5,82.1,7.67,yes,774,2.43,2.7,AENL44,Independents,10809,TRUE,2,INC,3482,DIMAPUR-III,TRUE,FALSE,0,FALSE,FALSE,TRUE,Graduate Professional,Salaried Work or Employed,Qualified Professional,Social Work,,State Assembly Election (AE)
Nagaland,14,3,2023,3,4,0,4,KAHUTO CHISHI SUMI,M,IND,1671,57,,31874,38824,DIMAPUR-III,ST,DIMAPUR,,5,82.1,5.24,yes,1301,4.08,2.7,AENL5196396,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Graduate,Agriculture,,,,State Assembly Election (AE)
Nagaland,14,3,2023,3,4,0,5,VETETSO LASUH,M,INC,370,72,,31874,38824,DIMAPUR-III,ST,DIMAPUR,,5,82.1,1.16,yes,236,0.74,2.7,AENL950,National Party,3482,TRUE,4,INC,3482,CHIZAMI,FALSE,TRUE,0,FALSE,FALSE,FALSE,Illiterate,Social Work,,,,State Assembly Election (AE)
Nagaland,14,3,2023,3,4,0,6,NOTA,,None of the Above,134,,,31874,38824,DIMAPUR-III,ST,DIMAPUR,,5,82.1,0.42,,0,0,2.7,,NOTA,5897,TRUE,,,,,,,,,,,,,,,,State Assembly Election (AE)
Nagaland,14,4,2023,3,4,0,1,N. JACOB ZHIMOMI,M,BJP,32037,42,,57260,76063,GHASPANI-I,ST,DIMAPUR,,5,75.28,55.95,no,20096,35.1,2.63,AENL48,National Party,1605,TRUE,3,BJP,1605,GHASPANI-I,TRUE,TRUE,3,FALSE,TRUE,TRUE,Graduate,Politics,Party Worker,Social Work,,State Assembly Election (AE)
Nagaland,14,4,2023,3,4,0,2,V. PHUSHIKA AOMI,M,IND,11941,46,,57260,76063,GHASPANI-I,ST,DIMAPUR,,5,75.28,20.85,no,3713,6.48,2.63,AENL5196402,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Graduate,Politics,Party Worker,,,State Assembly Election (AE)
Nagaland,14,4,2023,3,4,0,3,IMSUMONGBA PONGEN,M,Janata Dal(United),8228,48,,57260,76063,GHASPANI-I,ST,DIMAPUR,,5,75.28,14.37,yes,3715,6.49,2.63,AENL5196401,State-based Party (Other State),11002,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Graduate,Business,,Social Work,,State Assembly Election (AE)
Nagaland,14,4,2023,3,4,0,4,AKAVI N. ZHIMOMI,M,INC,4513,31,,57260,76063,GHASPANI-I,ST,DIMAPUR,,5,75.28,7.88,yes,4236,7.4,2.63,AENL50,National Party,3482,TRUE,2,AAAP,13,GHASPANI-I,TRUE,FALSE,0,TRUE,FALSE,TRUE,Graduate,Social Work,,,,State Assembly Election (AE)
Nagaland,14,4,2023,3,4,0,5,VIKATO AYE,M,NPF,277,37,,57260,76063,GHASPANI-I,ST,DIMAPUR,,5,75.28,0.48,yes,13,0.02,2.63,AENL5196400,State-based Party,5552,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Graduate,Social Work,,,,State Assembly Election (AE)
Nagaland,14,4,2023,3,4,0,6,NOTA,,None of the Above,264,,,57260,76063,GHASPANI-I,ST,DIMAPUR,,5,75.28,0.46,,0,0,2.63,,NOTA,5897,TRUE,,,,,,,,,,,,,,,,State Assembly Election (AE)
