State_Name,Assembly_No,Constituency_No,Year,month,DelimID,Poll_No,Position,Candidate,Sex,Party,Votes,Age,Candidate_Type,Valid_Votes,Electors,Constituency_Name,Constituency_Type,District_Name,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin,Margin_Percentage,ENOP,pid,Party_Type_TCPD,Party_ID,last_poll,Contested,Last_Party,Last_Party_ID,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,MyNeta_education,TCPD_Prof_Main,TCPD_Prof_Main_Desc,TCPD_Prof_Second,TCPD_Prof_Second_Desc,Election_Type
Uttarakhand,5,1,2022,3,4,0,1,DURGESHWAR LAL,M,BJP,27856,36,,51632,75364,PUROLA,SC,UTTARKASHI,GARHWAL,6,68.51,53.95,no,6296,12.19,2.17,AEUK100154,National Party,1605,TRUE,2,IND,10809,PUROLA,TRUE,FALSE,1,FALSE,FALSE,TRUE,12th Pass,Agriculture,,,,State Assembly Election (AE)
Uttarakhand,5,1,2022,3,4,0,2,Malchand,M,INC,21560,55,,51632,75364,PUROLA,SC,UTTARKASHI,GARHWAL,6,68.51,41.76,no,21022,40.72,2.17,AEUK100153,National Party,3482,TRUE,4,BJP,1605,PUROLA,TRUE,FALSE,1,TRUE,FALSE,TRUE,10th Pass,Business,Hospitality,Politics,Ex MLA,State Assembly Election (AE)
Uttarakhand,5,1,2022,3,4,0,3,PRAKASH,M,AAAP,538,37,,51632,75364,PUROLA,SC,UTTARKASHI,GARHWAL,6,68.51,1.04,yes,43,0.08,2.17,AEUK2024632,State-based Party,13,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,10th Pass,Agriculture,,,,State Assembly Election (AE)
Uttarakhand,5,1,2022,3,4,0,4,Ram Prasad,M,Rashtriya Lokneeti Party,495,35,,51632,75364,PUROLA,SC,UTTARKASHI,GARHWAL,6,68.51,0.96,yes,31,0.06,2.17,AEUK2024631,Local Party,25029,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Graduate,Education,Home Teacher or Tuition,,,State Assembly Election (AE)
Uttarakhand,5,1,2022,3,4,0,5,Chain Singh,M,SP,464,55,,51632,75364,PUROLA,SC,UTTARKASHI,GARHWAL,6,68.51,0.9,yes,75,0.15,2.17,AEUK2024633,State-based Party,7425,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,8th Pass,Agriculture,,,,State Assembly Election (AE)
Uttarakhand,5,1,2022,3,4,0,6,Ujali Devi,F,BSP,389,44,,51632,75364,PUROLA,SC,UTTARKASHI,GARHWAL,6,68.51,0.75,yes,59,0.11,2.17,AEUK2024636,State-based Party,16651,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,8th Pass,Agriculture,,,,State Assembly Election (AE)
Uttarakhand,5,1,2022,3,4,0,7,None Of The Above,,NOTA,330,,,51632,75364,PUROLA,SC,UTTARKASHI,GARHWAL,6,68.51,0.64,,0,0,2.17,,,,TRUE,,,,,,,,,,,,,,,,State Assembly Election (AE)
Uttarakhand,5,2,2022,3,4,0,1,Sanjay Dobhal,M,IND,22952,51,,52153,77770,YAMUNOTRI,GEN,UTTARKASHI,GARHWAL,8,67.06,44.01,no,6639,12.73,3.03,AEUK100157,Independents,10809,TRUE,2,INC,3482,YAMUNOTRI,TRUE,FALSE,1,FALSE,FALSE,TRUE,12th Pass,Business,Hospitality,,,State Assembly Election (AE)
Uttarakhand,5,2,2022,3,4,0,2,Deepak Bijalwan,M,INC,16313,35,,52153,77770,YAMUNOTRI,GEN,UTTARKASHI,GARHWAL,8,67.06,31.28,no,5693,10.92,3.03,AEUK2024642,National Party,3482,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,12th Pass,Other,,,,State Assembly Election (AE)
Uttarakhand,5,2,2022,3,4,0,3,Kedar Singh,M,BJP,10620,62,,52153,77770,YAMUNOTRI,GEN,UTTARKASHI,GARHWAL,8,67.06,20.36,no,10037,19.25,3.03,AEUK100156,National Party,1605,TRUE,5,BJP,1605,YAMUNOTRI,TRUE,TRUE,2,FALSE,TRUE,TRUE,Graduate Professional,Business,Hospitality,Politics,MLA,State Assembly Election (AE)
